"","state","party"
"1","Alabama","Republican"
"2","Alaska","Neutral"
"3","Arizona","Republican"
"4","Arkansas","Republican"
"5","California","Democratic"
"6","Colorado","Democratic"
"7","Connecticut","Democratic"
"8","Delaware","Neutral"
"9","Florida","Neutral"
"10","Georgia","Republican"
"11","Hawaii","Democratic"
"12","Idaho","Republican"
"13","Illinois","Democratic"
"14","Indiana","Republican"
"15","Iowa","Neutral"
"16","Kansas","Republican"
"17","Kentucky","Republican"
"18","Louisiana","Republican"
"19","Maine","Neutral"
"20","Maryland","Democratic"
"21","Massachusetts","Democratic"
"22","Michigan","Neutral"
"23","Minnesota","Neutral"
"24","Mississippi","Republican"
"25","Missouri","Republican"
"26","Montana","Republican"
"27","Nebraska","Republican"
"28","Nevada","Neutral"
"29","New Hampshire","Neutral"
"30","New Jersey","Democratic"
"31","New Mexico","Democratic"
"32","New York","Democratic"
"33","North Carolina","Republican"
"34","North Dakota","Republican"
"35","Ohio","Neutral"
"36","Oklahoma","Republican"
"37","Oregon","Democratic"
"38","Pennsylvania","Neutral"
"39","Rhode Island","Democratic"
"40","South Carolina","Republican"
"41","South Dakota","Republican"
"42","Tennessee","Republican"
"43","Texas","Republican"
"44","Utah","Republican"
"45","Vermont","Democratic"
"46","Virginia","Democratic"
"47","Washington","Democratic"
"48","West Virginia","Republican"
"49","Wisconsin","Neutral"
"50","Wyoming","Republican"
